Book Name,Authors,Info,Image URL
The Girl with the Dragon Tattoo: A Lisbeth Salander Novel,Stieg Larsson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0307454541"", ""ISBN13:"": ""9780307454546"", ""Release Date:"": ""June 2009"", ""Publisher:"": ""Vintage Crime/Black Lizard"", ""Length:"": ""608 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""1.1\"" x 5.2\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/5C707987B4DA01EACA65E956BBEC5A872A5D2240.jpeg
Dracula,Bram Stoker,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0451523377"", ""ISBN13:"": ""9780451523372"", ""Release Date:"": ""August 1986"", ""Publisher:"": ""Signet Classics"", ""Length:"": ""382 Pages"", ""Weight:"": ""0.42 lbs."", ""Dimensions:"": ""0.7\"" x 4.2\"" x 6.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/240F2840413B6B0091D728A51FA6F931CACB2F68.jpeg
Dark Places,Gillian Flynn,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0307341577"", ""ISBN13:"": ""9780307341570"", ""Release Date:"": ""May 2010"", ""Publisher:"": ""Crown Publishing Group (NY)"", ""Length:"": ""368 Pages"", ""Weight:"": ""0.52 lbs."", ""Dimensions:"": ""0.9\"" x 5.1\"" x 7.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/4A658D08746527CA40E73FB2A63EDA7FF6639006.jpeg
Sharp Objects (Sharp Objects: A Novel),Gillian Flynn,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0307341550"", ""Release Date:"": ""July 2007"", ""Publisher:"": ""Crown"", ""Length:"": ""254 Pages"", ""Weight:"": ""0.53 lbs."", ""Dimensions:"": ""8.0\"" x 0.6\"" x 5.2\""""}",https://m.media-amazon.com/images/I/41bO7j2CtUL._SL350_.jpg
In the Woods: A Novel (Dublin Murder Squad),Tana French,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0143113496"", ""Release Date:"": ""May 2008"", ""Publisher:"": ""Penguin Books"", ""Length:"": ""448 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""8.4\"" x 0.9\"" x 5.5\""""}",https://m.media-amazon.com/images/I/41bCa9lSWiL._SL350_.jpg
Tripwire (Jack Reacher),Lee Child,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0515143073"", ""Release Date:"": ""May 2007"", ""Publisher:"": ""Berkley"", ""Length:"": ""608 Pages"", ""Weight:"": ""0.74 lbs."", ""Dimensions:"": ""7.5\"" x 1.3\"" x 4.3\""""}",https://m.media-amazon.com/images/I/41P55TiUK-L._SL350_.jpg
The Pillars of the Earth,Ken Follett,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0451225244"", ""ISBN13:"": ""9780451225245"", ""Release Date:"": ""November 2007"", ""Publisher:"": ""New American Library"", ""Length:"": ""973 Pages"", ""Weight:"": ""1.91 lbs."", ""Dimensions:"": ""1.8\"" x 6.0\"" x 9.1\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/A086715E6788B3E81CB5C041300A3B2D3E37FC19.jpeg
The Shack: Where Tragedy Confronts Eternity,William Paul Young,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0964729237"", ""Release Date:"": ""July 2007"", ""Publisher:"": ""Windblown Media"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.72 lbs."", ""Dimensions:"": ""5.3\"" x 0.6\"" x 8.0\""""}",https://m.media-amazon.com/images/I/518nBzyV7hL._SL350_.jpg
Along Came A Spider,James Patterson,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0446364193"", ""Release Date:"": ""December 1993"", ""Publisher:"": ""Grand Central Publishing"", ""Length:"": ""528 Pages"", ""Weight:"": ""0.52 lbs."", ""Dimensions:"": ""6.9\"" x 1.3\"" x 4.3\""""}",https://m.media-amazon.com/images/I/51dGivzCAOL._SL350_.jpg
The Innocent,David Baldacci,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0446572993"", ""ISBN13:"": ""9780446572996"", ""Release Date:"": ""April 2012"", ""Publisher:"": ""Grand Central Publishing"", ""Length:"": ""432 Pages"", ""Weight:"": ""1.47 lbs."", ""Dimensions:"": ""1.5\"" x 6.5\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/DAC78B75C315CBE781E9E2620B997DA6312508FA.jpeg
